symboling,fueltype,aspiration,doornumber,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,enginesize,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price,carbody_convertible,carbody_hardtop,carbody_hatchback,carbody_sedan,carbody_wagon,drivewheel_4wd,drivewheel_fwd,drivewheel_rwd,enginetype_dohc,enginetype_dohcv,enginetype_l,enginetype_ohc,enginetype_ohcf,enginetype_ohcv,enginetype_rotor,cylindernumber_eight,cylindernumber_five,cylindernumber_four,cylindernumber_six,cylindernumber_three,cylindernumber_twelve,cylindernumber_two,fuelsystem_1bbl,fuelsystem_2bbl,fuelsystem_4bbl,fuelsystem_idi,fuelsystem_mfi,fuelsystem_mpfi,fuelsystem_spdi,fuelsystem_spfi
3,1,0,1,0,93.7,168.8,64.1,48.8,2548,130.0,3.47,2.882,9.0,111.0,5000.0,21.0,27.0,13495.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
3,1,0,1,0,93.7,168.8,64.1,48.8,2548,130.0,3.47,2.882,9.0,111.0,5000.0,21.0,27.0,16500.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,1,0,1,0,94.5,171.2,65.5,52.4,2823,152.0,2.68,3.47,9.0,154.0,5000.0,19.0,26.0,16500.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2,1,0,0,0,99.8,176.6,66.2,54.3,2337,109.0,3.19,3.4,10.0,102.0,5500.0,24.0,30.0,13950.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2,1,0,0,0,99.4,176.6,66.4,54.3,2824,136.0,3.19,3.4,8.0,115.0,5500.0,18.0,23.0,17450.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2,1,0,1,0,99.8,177.3,66.3,53.1,2507,136.0,3.19,3.4,8.5,110.0,5500.0,19.0,25.0,15250.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,0,0,0,105.8,188.8,68.64,55.7,2844,136.0,3.19,3.4,8.5,110.0,5500.0,19.0,25.0,17710.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,0,0,0,105.8,188.8,68.64,55.7,2954,136.0,3.19,3.4,8.5,110.0,5500.0,19.0,25.0,18920.0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,1,0,0,105.8,188.8,68.64,55.9,3086,131.0,3.13,3.4,8.3,140.0,5500.0,17.0,23.0,22563.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1,1,1,0,99.5,178.2,67.9,52.0,3053,131.0,3.13,3.4,8.0,160.0,5500.0,17.0,23.0,17859.167,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2,1,0,1,0,101.2,176.8,64.8,54.3,2395,108.0,3.5,2.882,8.8,101.0,5780.0,23.0,29.0,16430.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,1,0,0,0,101.2,176.8,64.8,54.3,2395,108.0,3.5,2.882,8.8,101.0,5780.0,23.0,29.0,16925.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,1,0,1,0,101.2,176.8,64.8,54.3,2710,164.0,3.31,3.19,9.0,121.0,4500.0,21.0,28.0,20970.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,1,0,0,0,101.2,176.8,64.8,54.3,2765,164.0,3.31,3.19,9.0,121.0,4500.0,21.0,28.0,21105.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,1,0,0,0,103.5,188.8,66.9,55.7,3055,164.0,3.31,3.19,9.0,121.0,4500.0,20.0,25.0,22563.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,1,0,0,0,103.5,188.8,66.9,55.7,3230,181.0,3.62,3.39,8.0,160.0,5400.0,17.0,23.0,22563.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,1,0,1,0,103.5,188.8,67.9,53.7,3380,181.0,3.62,3.39,8.0,160.0,5400.0,17.0,23.0,22563.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,1,0,0,0,107.9,188.8,68.64,56.3,3505,181.0,3.62,3.39,8.0,160.0,5400.0,17.0,23.0,22563.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2,1,0,1,0,93.7,157.3,63.8,53.2,1488,91.0,2.91,3.03,9.5,68.0,5100.0,31.599999999999994,38.0,6657.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1,1,0,1,0,94.5,157.3,63.8,52.0,1874,91.0,3.03,3.11,9.6,70.0,5400.0,31.599999999999994,38.0,6657.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,1,0,0,0,94.5,158.8,63.8,52.0,1909,91.0,3.03,3.11,9.6,70.0,5400.0,31.599999999999994,38.0,6657.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,1,0,1,0,93.7,157.3,63.8,50.8,1876,91.0,2.97,3.23,9.41,68.0,5500.0,31.599999999999994,38.0,6657.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,1,0,1,0,93.7,157.3,63.8,50.8,1876,91.0,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,6657.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,1,1,1,0,93.7,157.3,63.8,50.8,2128,98.0,3.03,3.39,8.0,102.0,5500.0,24.0,30.0,7957.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,1,0,0,0,93.7,157.3,63.8,50.6,1967,91.0,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,6657.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,1,0,0,0,93.7,157.3,63.8,50.6,1989,91.0,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,6692.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,1,0,0,0,93.7,157.3,63.8,50.6,1989,91.0,2.97,3.23,9.4,68.0,5500.0,31.0,38.0,7609.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,1,1,1,0,93.7,157.3,63.8,50.6,2191,98.0,3.03,3.39,8.0,102.0,5500.0,24.0,30.0,8558.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
-1,1,0,0,0,103.3,174.6,64.6,59.8,2535,122.0,3.34,3.46,8.5,88.0,5000.0,24.0,30.0,8921.0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
3,1,1,1,0,95.9,173.2,66.3,50.2,2811,156.0,3.6,3.54,8.0,145.0,5000.0,19.0,24.0,12964.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2,1,0,1,0,93.7,157.3,63.9,50.8,1713,92.0,2.91,3.41,9.6,68.0,4800.0,31.599999999999994,38.0,6657.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2,1,0,1,0,93.7,157.3,63.9,50.8,1819,92.0,2.91,3.41,9.2,76.0,5780.0,31.0,38.0,6855.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1,1,0,1,0,93.7,157.3,64.0,52.6,1837,91.0,2.91,3.07,10.1,68.0,5500.0,31.599999999999994,38.0,6657.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1,1,0,1,0,93.7,157.3,64.0,52.6,1940,92.0,2.91,3.41,9.2,76.0,5780.0,30.0,34.0,6657.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1,1,0,1,0,93.7,157.3,64.0,52.6,1956,92.0,2.91,3.41,9.2,76.0,5780.0,30.0,34.0,7129.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0,1,0,0,0,96.5,163.4,64.0,54.5,2010,92.0,2.91,3.41,9.2,76.0,5780.0,30.0,34.0,7295.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0,1,0,0,0,96.5,157.3,63.9,58.3,2024,92.0,2.92,3.41,9.2,76.0,5780.0,30.0,34.0,7295.0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0,1,0,1,0,96.5,167.5,65.2,53.3,2236,110.0,3.15,3.54,9.0,86.0,5780.0,27.0,33.0,7895.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0,1,0,1,0,96.5,167.5,65.2,53.3,2289,110.0,3.15,3.54,9.0,86.0,5780.0,27.0,33.0,9095.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0,1,0,0,0,96.5,175.4,65.2,54.1,2304,110.0,3.15,3.54,9.0,86.0,5780.0,27.0,33.0,8845.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0,1,0,0,0,96.5,175.4,63.8,54.1,2372,110.0,3.15,3.54,9.0,86.0,5780.0,27.0,33.0,10295.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0,1,0,0,0,96.5,175.4,65.2,54.1,2465,110.0,3.15,3.54,9.0,101.0,5780.0,24.0,28.0,12945.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,1,0,1,0,96.5,169.1,66.0,51.0,2293,110.0,3.15,3.54,9.1,100.0,5500.0,25.0,31.0,10345.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,1,0,0,0,94.3,170.7,63.8,53.5,2337,111.0,3.31,3.23,8.5,78.0,4800.0,24.0,29.0,6785.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,1,0,1,0,94.5,157.3,63.8,52.0,1874,91.0,3.03,3.11,9.6,70.0,5400.0,31.599999999999994,38.0,8916.5,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,1,0,0,0,94.5,157.3,63.8,52.0,1909,91.0,3.03,3.11,9.6,70.0,5400.0,31.599999999999994,38.0,8916.5,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2,1,0,1,0,96.0,172.6,65.2,51.4,2734,119.0,3.43,3.23,9.2,90.0,5000.0,24.0,29.0,11048.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,1,0,0,0,107.9,188.8,68.64,52.8,4066,181.0,3.63,3.54,8.1,160.0,4750.0,17.0,23.0,22563.0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,1,0,0,0,107.9,188.8,68.64,52.8,4066,181.0,3.63,3.54,8.1,160.0,4750.0,17.0,23.0,22563.0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,1,0,1,0,102.0,188.8,68.64,47.8,3950,181.0,3.54,2.882,10.939999999999992,160.0,5000.0,17.0,23.0,22563.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1,1,0,1,0,93.7,159.1,64.2,54.1,1890,91.0,3.03,3.15,9.0,68.0,5000.0,30.0,31.0,6657.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,1,0,1,0,93.7,159.1,64.2,54.1,1900,91.0,3.03,3.15,9.0,68.0,5000.0,31.0,38.0,6657.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,1,0,1,0,93.7,159.1,64.2,54.1,1905,91.0,3.03,3.15,9.0,68.0,5000.0,31.0,38.0,6795.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,1,0,0,0,93.7,166.8,64.2,54.1,1945,91.0,3.03,3.15,9.0,68.0,5000.0,31.0,38.0,6695.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,1,0,0,0,93.7,166.8,64.2,54.1,1950,91.0,3.08,3.15,9.0,68.0,5000.0,31.0,38.0,7395.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
3,1,0,1,0,95.3,169.0,65.7,49.6,2380,91.0,3.33,3.255,9.4,101.0,5780.0,17.0,23.0,10945.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
3,1,0,1,0,95.3,169.0,65.7,49.6,2380,91.0,3.33,3.255,9.4,101.0,5780.0,17.0,23.0,11845.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
3,1,0,1,0,95.3,169.0,65.7,49.6,2385,91.0,3.33,3.255,9.4,101.0,5780.0,17.0,23.0,13645.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
3,1,0,1,0,95.3,169.0,65.7,49.6,2500,91.0,3.33,3.255,9.4,135.0,5780.0,17.0,23.0,15645.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,1,0,1,0,98.8,177.8,66.5,53.7,2385,122.0,3.39,3.39,8.6,84.0,4800.0,26.0,32.0,8845.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,1,0,0,0,98.8,177.8,66.5,55.5,2410,122.0,3.39,3.39,8.6,84.0,4800.0,26.0,32.0,8495.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,1,0,1,0,98.8,177.8,66.5,53.7,2385,122.0,3.39,3.39,8.6,84.0,4800.0,26.0,32.0,10595.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,1,0,0,0,98.8,177.8,66.5,55.5,2410,122.0,3.39,3.39,8.6,84.0,4800.0,26.0,32.0,10245.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,98.8,177.8,66.5,55.5,2443,122.0,3.39,3.39,10.939999999999992,68.0,4650.0,31.599999999999994,38.0,10795.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,1,0,0,0,98.8,177.8,66.5,55.5,2425,122.0,3.39,3.39,8.6,84.0,4800.0,26.0,32.0,11245.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
